Argyll V2.1.1
python-pycurl 7.43.0.5
python-pygments 2.6.1
python-pygobject 3.36.0
python-pyopenssl 19.1.0
python-pyparsing 2.4.6
python-pytz 2019.3
python-requests 2.24.0
python-unidecode 1.1.1
python-urllib3 1.25.9
python-yaml 5.3.1
python2 2.7.18
python2-chardet 3.0.4
python2-configparser 3.5.0
python2-dbus 1.2.16
python2-distutils-extra 2.39
python2-dnspython 1.16.0
python2-idna 2.7
python2-ipaddr 2.2.0
python2-ipy 0.83
python2-mako 1.1.3
python2-pip 20.1.1
python2-pycairo 1.18.1
python2-pygments 2.5.2
python2-pygobject 3.32.1
python2-pygobject2 2.28.7
python2-pyparsing 2.4.6
python2-requests 2.24.0
python2-setuptools 45.3.0
python2-six 1.15.0
qemu 5.0.0
qpdf 10.0.1
qt5 5.14.2
rarian 0.8.1
read-edid 3.0.2
recode 3.7.6
rest 0.8.1
rgb 1.0.6
rinutils 0.2.0
rrdtool 1.7.2
rsync 3.2.2
rtkit 0.13
rtorrent 0.9.8
ruby 2.7.1
runc 1.0.0-rc90
rxvt-unicode 9.22
samba 4.12.3
sbc 1.4
scons 3.1.2
screen 4.8.0
scrot 1.3
setserial 2.17
setxkbmap 1.3.2
sg3_utils 1.45
sgml-common 0.6.3
shared-mime-info 1.15
showfont 1.0.5
slang 2.3.2
smartmontools 7.1
smpeg 0.4.5
snappy 1.1.8
snowballstemmer 2.0.0
source-highlight 3.1.9
sox 14.4.2
soxr 0.1.3-Source
spdlog 1.5.0
speex 1.2.0
speexdsp 1.2.0
spice 0.14.3
spice-gtk 0.38
spice-protocol 0.14.1
sqlite 3320300
sshfs 3.7.0
ssmtp 2.64
startup-notification 0.12
stfl 0.24
strace 5.7
sudo 1.9.1
swig 4.0.2
syck 0.55
sysstat 12.3.3
t1lib 5.1.2
t1utils 1.41
taglib 1.11.1
talloc 2.3.1
tcl 8.6.10
tcpdump 4.9.3
tdb 1.4.3
terminus-font 4.48
texi2html 5.0
tiff 4.1.0
timidity++ 2.15.0
tk 8.6.10
tmux 3.1b
toluapp 1.0.93
tracker 2.3.4
tracker-miners 2.3.3
transmission 3.00
tree 1.8.0
twm 1.0.11
twolame 0.4.0
uchardet 0.0.6
udisks2 2.9.0
uhttpmock 0.5.1
units 2.19
unrar 5.9.4
upower 0.99.11
urw-fonts 1.0.7pre43
usbredir 0.8.0
util-macros 1.19.2
uudeview 0.5.20
v4l-utils 1.20.0
vala 0.48.7
valgrind 3.15.0
vde2 2.3.2
virglrenderer 0.8.2
virt-manager 2.2.1
virt-viewer 7.0
vnstat 2.6
volume_key 0.3.11
vorbis-tools 1.4.0
vsftpd 3.0.3
vte 0.28.2
vte3 0.60.3
wavpack 5.3.0
wayland 1.18.0
wayland-protocols 1.20
weechat 2.8
whois 5.5.6
wireshark 3.2.4
wmctrl 1.07
wpebackend-fdo 1.4.1
wxGTK 3.0.2.0
x11-ssh-askpass 1.2.4.1
x265 3.4
xalan-c 1.11
xapian-core 1.4.16
xauth 1.1
xbindkeys 1.8.6
xbitmaps 1.1.2
xboard 4.9.1
xcalc 1.1.0
xcb-proto 1.14
xcb-util 0.4.0
xcb-util-cursor 0.1.3
xcb-util-image 0.4.0
xcb-util-keysyms 0.4.0
xcb-util-renderutil 0.3.9
xcb-util-wm 0.4.1
xclip 0.13
xclipboard 1.1.3
xclock 1.0.9
xcursor-themes 1.0.6
xcursorgen 1.0.7
xdg-dbus-proxy 0.1.1
xdg-utils 1.1.3
xdpyinfo 1.3.2
xerces-c 3.2.3
xev 1.2.3
xeyes 1.1.2
xf86-input-evdev 2.10.6
xf86-input-keyboard 1.9.0
xf86-input-libinput 0.30.0
xf86-input-mouse 1.9.3
xf86-input-synaptics 1.9.1
xf86-video-amdgpu 19.1.0
xf86-video-ati 19.1.0
xf86-video-chips 1.4.0
xf86-video-i740 1.4.0
xf86-video-intel Release_3.8.1
xf86-video-mga 2.0.0
xf86-video-sis 0.12.0
xf86-video-v4l 0.3.0
xf86-video-vesa 2.4.0
xfce4-icon-theme 4.4.3
xfce4-terminal 0.8.9.2
xfconf 4.14.3
xfontsel 1.0.6
xhost 1.0.8
xinetd 2.3.15
xinit 1.4.1
xinput 1.6.3
xkbcomp 1.4.3
xkbutils 1.0.4
xkeyboard-config 2.30
xkill 1.0.5
xmessage 1.0.5
xmlrpc-c 1.39.07
xmlsec1 1.2.30
xmlto 0.0.28
xmltoman 0.4
xmodmap 1.0.10
xorg-cf-files 1.0.6
xorg-docs 1.7.1
xorg-server 1.20.8
xorg-sgml-doctools 1.11
xorgproto 2020.1
xprintidle 0.2.2
xprop 1.2.4
xrandr 1.5.1
xrdb 1.2.0
xset 1.2.4
xsetroot 1.1.2
xterm 358
xtrans 1.4.0
xxHash 0.7.4
yajl 2.1.0
yaml 0.2.4
yelp-tools 3.32.2
yelp-xsl 3.36.0
zfs-utils 0.8.4
zile 2.4.14
zsh 5.8
zstd 1.4.5
zziplib 0.13.71
